Frase	Grupo	Palavra Em Destaque No Grupo	Palavras Frequentes No Grupo
Fico no aguardo de um retorno	68	retorno	retorno,aguardo,fico
Fico no aguardo de um retorno	68	retorno	retorno,aguardo,fico
Aguardo teu retorno. 	68	retorno	retorno,aguardo,fico
Estou aguardando o contato de vcs	68	retorno	retorno,aguardo,fico
No agurdo de seu prezado retorno, com amizade e admiração,	68	retorno	retorno,aguardo,fico
Aguardo seu retorno Marcela	68	retorno	retorno,aguardo,fico
E o livro?	69	livro	livro,sobre,caibalion
Sobre o livro.	69	livro	livro,sobre,caibalion
E o livro: Como entender o Caibalion	69	livro	livro,sobre,caibalion
Livro comentários ao caibalion	69	livro	livro,sobre,caibalion
Sobre o livro 	69	livro	livro,sobre,caibalion
O livro me interessa tambem	69	livro	livro,sobre,caibalion
Você é meus olhos para o mundo 	70	mundo	mundo,surgimento,matrizes
Tenho um trabalho sobre o surgimento do mundo nas matrizes indígenas mas nao acho em nenhum lugar	70	mundo	mundo,surgimento,matrizes
Surgimento do mundo matrizes indígenas	70	mundo	mundo,surgimento,matrizes
Como funciona	71	curso	funciona,curso,volunatriado
Volunatriado e como funciona o curso	71	curso	funciona,curso,volunatriado
Como funciona.?	71	curso	funciona,curso,volunatriado
Como funciona o curso ? 	71	curso	funciona,curso,volunatriado
Quais as materias?	71	curso	funciona,curso,volunatriado
Qual é o período de curso?	71	curso	funciona,curso,volunatriado
Como funciona os cursos?	71	curso	funciona,curso,volunatriado
Qual valor?	72	quanto	quanto,custa,valor
Quanto custa?	72	quanto	quanto,custa,valor
Quanto custa? Carga horária? 	72	quanto	quanto,custa,valor
Dois dos lançamentos da editora nesse primeiro ciclo são os livros SER ESTOICO: ETERNO APRENDIZ, do pesquisador Ward Farnsworth, e O PEQUENO MANUAL ESTOICO, do jovem Jonas Salzgeber. Os livros dedicados aos filósofos estóicos Marco Aurélio e Sêneca trazem respostas práticas e objetivas para perguntas eternas: onde mora a felicidade? Como ser resiliente? Como enfrentar nossos medos? Como lidar com a certeza da morte? E como encontrar poesia e serenidade nos dias de hoje? 	73	livros	morte,livro,dois
Achamos que os dois títulos dialogam bastante com a proposta de vocês. Gostaríamos de saber se gostariam de receber um exemplar para avaliar as chances de pauta.	73	livros	morte,livro,dois
Olá Lúcia Helena. Tudo bem? Espero que estejas bem. Então, sou ator, professor de teatro, dramaturgo, poeta e contista, aqui de Brasília. Sou muito admirador de sua obra e de suas palestras, na Nova Acrópole. Estou lançando meu 5º livro (contos) chamado “A morte manda lembrança”.	73	livros	morte,livro,dois
E como o livro, tem um forte viés sobre as várias facetas da morte e uma grande tendência que provocam reflexões existencialistas e filosóficas, queria saber se você teria interesse de ler, para, caso goste é claro, escrever um prefácio. Seria uma grande honra e alegria pra mim. Enfim, se quiser e puder, me passa um e-mail que te envio uma cópia da obra para que aprecies. O que achas ? 	73	livros	morte,livro,dois
Em algum momento difícil bastar-me-a ve--la e ouvi--la, haja luz! Vc é uma pessoa mto abençoada. Imagino atue no dia a dia com literatura, correto?	73	livros	morte,livro,dois
Aproveito a oportunidade para fazer--lhe uma indagação importante: acabei de concluir um livro, 180 páginas, minha vida. Estou na fase das necessárias críticas. Vc aceitaria le--lo? Enviaria o manuscrito pelo Correio.	73	livros	morte,livro,dois
Forte abraço,	74	abraço	abraço,forte,grande
Abraços Fraternos	74	abraço	abraço,forte,grande
Grande abraço meu herói	74	abraço	abraço,forte,grande
Abraço	74	abraço	abraço,forte,grande
Abraço	74	abraço	abraço,forte,grande
Abraço 🙏😏	74	abraço	abraço,forte,grande
Um forte abraço a todos que estao a serviço de não deixar o conhecimento desaparecer, a manter a chama acessa. 🌹💗🌹	74	abraço	abraço,forte,grande
Mão ✋🙆‍♀️👐🙅‍♀️✋	74	abraço	abraço,forte,grande
Grande abraço a todos!!	74	abraço	abraço,forte,grande
vocês tem estudo sobre o satanismo?	75	satanismo	sobre,satanismo,estudo
tem estudos sobre o satanismo?	75	satanismo	sobre,satanismo,estudo
Você teria artigos sobre a Juventude para indicar?	75	satanismo	sobre,satanismo,estudo
Posso levar uma criança de 06 anos para a palestra de *Tchaikovsky, o gênio dos balés* no dia 06/11, em Fortaleza?	76	sobre	gostaria,saber,sobre
Olá! Qual é a programação de palestras ou cursos na sede da ilha do gov. ?	76	sobre	gostaria,saber,sobre
Olá! Gostaria de saber sobre o curso Távola Redonda para meninos em Águas Claras. Meu filho tem 11 anos.	76	sobre	gostaria,saber,sobre
Olá! Gostaria de saber sobre o curso Távola Redonda para meninos em Águas Claras. Meu filho tem 11 anos.	76	sobre	gostaria,saber,sobre
Gostaria de saber mais sobre os programas Janos e Merlin. Tenho dois filhos de 11 e 14 anos.	76	sobre	gostaria,saber,sobre
Os curso para criança estão acontecendo?	76	sobre	gostaria,saber,sobre
Gostaria de saber sobre o curso pra crianças	76	sobre	gostaria,saber,sobre
Olá! Gostaria de saber sobre valores para essa turma	76	sobre	gostaria,saber,sobre
Gostaria de saber sobre o programa infantil	76	sobre	gostaria,saber,sobre
Bom tarde	77	olá	dia,bom,olá
boa tarde!	77	olá	dia,bom,olá
Bom dia	77	olá	dia,bom,olá
Olá! Bom dia!	77	olá	dia,bom,olá
Olá!bom dia! 	77	olá	dia,bom,olá
Ótimo dia	77	olá	dia,bom,olá
Prezada Natani, bom dia 	77	olá	dia,bom,olá
Bom dia Simplicia.	77	olá	dia,bom,olá
Boa tarde!	77	olá	dia,bom,olá
Olá, muito bom dia!	77	olá	dia,bom,olá
O Deus que está em mim, saúda o Deus que está em você tenha um excelente dia	77	olá	dia,bom,olá
Olá! Bom dia!	77	olá	dia,bom,olá
Muito bom dia!!!	77	olá	dia,bom,olá
Muito  obrigada por tudo.	78	obrigada	obrigada,obrigado,ser
Obrigada 	78	obrigada	obrigada,obrigado,ser
Obrigado	78	obrigada	obrigada,obrigado,ser
Obrigado	78	obrigada	obrigada,obrigado,ser
obrigada!	78	obrigada	obrigada,obrigado,ser
Muito obrigado.	78	obrigada	obrigada,obrigado,ser
Muito obrigado.	78	obrigada	obrigada,obrigado,ser
Ok. Muito obrigada 🙂	78	obrigada	obrigada,obrigado,ser
Obrigada	78	obrigada	obrigada,obrigado,ser
Obrigada	78	obrigada	obrigada,obrigado,ser
Obrigada	78	obrigada	obrigada,obrigado,ser
Desculpa	78	obrigada	obrigada,obrigado,ser
Obrigada pelas palavras de sabedoria que me fazem estar refletindo sobre como ser um ser mais justo, e assim sendo, mais humano.	78	obrigada	obrigada,obrigado,ser
Liguei nos dois números pra obter informações e recebo a informação que não existe.	79	telefone	telefone,número,liguei
Tem outro número?	79	telefone	telefone,número,liguei
Se tem telefone disponível.	79	telefone	telefone,número,liguei
Whatsapp ou Ligação	79	telefone	telefone,número,liguei
Qual número de telefone?	79	telefone	telefone,número,liguei
Telefone Tijuca	79	telefone	telefone,número,liguei
Oi e tem algum atendente de Cuririba disponível? Já vou voltar para lá, obg	80	atendente	oi,algum,atendente
Oi e tem algum atendente de Cuririba disponível? Já vou voltar para lá, obg	80	atendente	oi,algum,atendente
Conversei com as atendentes qdo fui pegar a gelatina , perto do super nosso castelo	80	atendente	oi,algum,atendente
Há atendimento pediátrico?	80	atendente	oi,algum,atendente
Estou triste	81	agradeço	gratidão,agradeço,triste
Ai está  o recibo	81	agradeço	gratidão,agradeço,triste
gratidão 🙏🏻	81	agradeço	gratidão,agradeço,triste
Sou grato aos teus canais e pela diversidade com todos os temas	81	agradeço	gratidão,agradeço,triste
Desde já agradeço.	81	agradeço	gratidão,agradeço,triste
Eu agradeci	81	agradeço	gratidão,agradeço,triste
Parabéns.	81	agradeço	gratidão,agradeço,triste
Busco artigo referente a gratidão! Pode me ajudar?	81	agradeço	gratidão,agradeço,triste
agradeço seu carinho e atenção	81	agradeço	gratidão,agradeço,triste
Amo demais ela	81	agradeço	gratidão,agradeço,triste
Vou acessar o site	82	link	site,vou,acessar
O link não funciona	82	link	site,vou,acessar
Num lugar com conexão ruim	82	link	site,vou,acessar
Está dando erro, o site	82	link	site,vou,acessar
Pelo que vi, em Aracaju, não está funcionando	82	link	site,vou,acessar
Nem no site e nem no app	82	link	site,vou,acessar
Olá!gostaria de saber se haverá turma nova de introdução à filosofia na sede Botafogo, RJ,  aos sábados?	83	botafogo	botafogo,sede,filosofia
A nova acrópole se botafogo encontra-se ativa?	83	botafogo	botafogo,sede,filosofia
Curso na sede de Botafogo.	83	botafogo	botafogo,sede,filosofia
Quero me inscrever no Ciurso de Filosofia. A sede de Botafogo está aberta?	83	botafogo	botafogo,sede,filosofia
Quero me inscrever no Ciurso de Filosofia. A sede de Botafogo está aberta?	83	botafogo	botafogo,sede,filosofia
Vocês tem cursos em modelo EAD	84	cursos	curso,cursos,olá
É procedente a venda do curso as quatro ferramentas essenciais?	84	cursos	curso,cursos,olá
Quero saber se há esse curso on-line.	84	cursos	curso,cursos,olá
Tem o curso virtual?	84	cursos	curso,cursos,olá
Vc tem turmas virtuais?	84	cursos	curso,cursos,olá
Olá! Olá quais são os cursos que vocês estão tendo	84	cursos	curso,cursos,olá
Vcs tem curso on-line	84	cursos	curso,cursos,olá
Boca tem curso on-line?	84	cursos	curso,cursos,olá
Olá! td bem? gostaria de saber se ha algum link com todos os cursos disponibilizados .	84	cursos	curso,cursos,olá
os cursos sao somente presenciais ?	84	cursos	curso,cursos,olá
Vocês tem curso on-line?	84	cursos	curso,cursos,olá
Olá! Tudo bem? Existe algum curso sem ser presencial?	84	cursos	curso,cursos,olá
Vocês  dão cursos online?	84	cursos	curso,cursos,olá
Olá! Gostaria de saber se os cursos são EAD?	84	cursos	curso,cursos,olá
Vcs tem curso Historia das Religiões?	84	cursos	curso,cursos,olá
http://www.portalcurso.com.br/acesso/?u=TVRBek5EVTI=	84	cursos	curso,cursos,olá
Sou de Fortaleza. Está tendo algum curso presencial ?	84	cursos	curso,cursos,olá
Olá, vcs têm cursos online?	84	cursos	curso,cursos,olá
Vcs tem curso EAD	84	cursos	curso,cursos,olá
Existe algum curso presencial no guara df	84	cursos	curso,cursos,olá
Vocês estão com aulas presenciais?	84	cursos	curso,cursos,olá
𝑽𝒐𝒄𝒆̂𝒔 𝒅𝒊𝒔𝒑𝒐𝒏𝒊𝒃𝒊𝒍𝒊𝒛𝒂𝒎 𝒐 𝒄𝒖𝒓𝒔𝒐 𝒐𝒏𝒍𝒊𝒏𝒆, 𝒂𝒍𝒆́𝒎 𝒅𝒐 𝒎𝒂𝒕𝒆𝒓𝒊𝒂𝒍 𝒒𝒖𝒆 𝒉𝒂́ 𝒏𝒐 𝒀𝒐𝒖𝑻𝒖𝒃𝒆?	84	cursos	curso,cursos,olá
Vcs estão tendo cursos/atividades presenciais?	84	cursos	curso,cursos,olá
Gostaria de saber se a Nova Acrópole emite algum tipo de certificação dos cursos.	85	cursos	nova,cursos,gostaria
Quais cursos terão em outubro?	85	cursos	nova,cursos,gostaria
Olá! Acabo de mudar para Campina Grande  e fiquei muito feliz ao saber da existencia de uma NOVA ACRÓPOLE aqui.  Gostaria de saber sobre oficina, cursos e palestras, por favor. Obrigada	85	cursos	nova,cursos,gostaria
Vi uma publicação,  acredito que antiga, ainda existe o curso pela nova acropole?	85	cursos	nova,cursos,gostaria
Eu gostaria de participar do curso da nova Acrópole, já falei com vocês já algum tempo atrás, e a informação foi que vocês só tinham cursos presenciais.	85	cursos	nova,cursos,gostaria
Foi por esse link que entrei no curso da suposta Nova Acropole	85	cursos	nova,cursos,gostaria
Olá!boa tarde gostaria de saber os cursos presenciais na nova Acrópole do sudoeste	85	cursos	nova,cursos,gostaria
Quando pesquisei sobre cursos da Nova Acrópole, apareceu uma página que oferecia curso virtual, próximo ao Linck da página da sede de Porto Alegre e me precipitei achando que era de vocês. Na verdade é um curso oferecido na página www.portaldocurso.com.br, sem vínculo com vocês.	85	cursos	nova,cursos,gostaria
Gostaria de saber sobre o curso inicial na unidade do Sudoeste 	85	cursos	nova,cursos,gostaria
Olá! Boa tarde! Sou Adhemar e gostaria de saber se a Nova Acrópole não possui cursos on-line. Muito Obrigado. Abraços.	85	cursos	nova,cursos,gostaria
Quero pagar a anuidade para assistir acropole play.	86	acrópole	play,quê,acrópole
“Toda neutralidade afirmada, é uma opção escolhida” 	86	acrópole	play,quê,acrópole
O quê é acrópole play?	86	acrópole	play,quê,acrópole
O quê é acrópole play, o streaming??	86	acrópole	play,quê,acrópole
https://instagram.com/neosoundgravacoes	87	https	https,link,através
Entre em Através do Link https://wa.me/558596545161	87	https	https,link,através
https://br.pinterest.com/pin/61783826126737231#imgViewer	87	https	https,link,através
Há, quero aproveitar e te informar que seu site o https://acropoleplay.com, está com alzheimer 😅	87	https	https,link,através
https://www.google.com/url?sa=t&source=web&rct=j&url=https://m.youtube.com/watch%3Fv%3DxaHfJ6Fdx5U&ved=2ahUKEwjk2J35gYzzAhVKq5UCHWgrBFYQxa8BegQIDBAF&usg=AOvVaw1AQnxjB30IFx9AAnS2KViO	87	https	https,link,através
Link: https://diamantesgratis2021.online/freefire2021/	87	https	https,link,através
Curso clássico de sabedoria Indiana	88	indiana	indiana,sabedoria,curso
Classicos da literatura indiana	88	indiana	indiana,sabedoria,curso
Ola, gostaria de uma informacao. Quanto tempo de video tem Os Classicos da Sabedoria Indiana?	88	indiana	indiana,sabedoria,curso
Gostaria de informaçoes sobre o curso sobre sabedoria indiana.	88	indiana	indiana,sabedoria,curso
Instituto Bodhidarma	88	indiana	indiana,sabedoria,curso
Clássicos da sabedoria indiana,  com a professora Lúcia Helena.	88	indiana	indiana,sabedoria,curso
Clássicos da Literatura Indiana	88	indiana	indiana,sabedoria,curso
o Curso Clássicos da Sabedoria Indiana.	88	indiana	indiana,sabedoria,curso
nesse curso da o r8fa Lucia Clássicos da Sab Indiana	88	indiana	indiana,sabedoria,curso
Já tenho o Ramaiana e o Mahabarata pelo consulado da Índia. Serão aulas diferentes dessas que já tenho? Obrigada!	89	mahabarata	mahabarata,filme,nesse
nesse curso explicará detalhes do filme Mahabarata?	89	mahabarata	mahabarata,filme,nesse
já assisti muitas vezes o filme Mahabarata mas continuo com muuuitas dúvidas.... nesse curso vai explicar esse filme ou livro? 	89	mahabarata	mahabarata,filme,nesse
Superação de limites......🕊️...............	90	limites	limites,livro,gostaria
Eu sinto que posso desafiar as coisas sem morrer, tal qual me falou	90	limites	limites,livro,gostaria
Se possível gostaria de comprar o livro ( ítem 13 da sua mensagem)	90	limites	limites,livro,gostaria
Gostaria de obter o livro *Como superar os limites internos*	90	limites	limites,livro,gostaria
Qual o valor do livro como superar nossos limites?	90	limites	limites,livro,gostaria
Eu gostaria de adquirir o livro como superar seus limites internos	90	limites	limites,livro,gostaria
A *antiga Friboi, do *grupo JBS,* passa a se chamar *JBS Foods International.*	91	jbs	jbs,antiga,friboi
*Joesley Batista*	91	jbs	jbs,antiga,friboi
Flávio Albuquerque	91	jbs	jbs,antiga,friboi
João BV Padilha	91	jbs	jbs,antiga,friboi
Próximo de Taubaté e São José dos Campos	91	jbs	jbs,antiga,friboi
ObrigadoJunior BeéfierriCia Atores de Mar'Whatsapp (21) 964584532	92	cruz	natani,cruz,obrigadojunior
Partilhar meu livro com a Lúcia Helena para eventual escrita de prefácio. Escrevi na mensagem 👆👆🙏😏😏	92	cruz	natani,cruz,obrigadojunior
Contato com Natani Cruz	92	cruz	natani,cruz,obrigadojunior
Repassar msg enviada para professora Natani Cruz	92	cruz	natani,cruz,obrigadojunior
Uma amiga me enviou	92	cruz	natani,cruz,obrigadojunior
Olá! Gostaria de saber o valor do curso introdutório	93	cursos	sobre,informações,gostaria
Eu vou querer saber sobre os seguintes cursos:	93	cursos	sobre,informações,gostaria
Informacões sobre cursos	93	cursos	sobre,informações,gostaria
Gostaria de informações sobre curso on LINE.	93	cursos	sobre,informações,gostaria
Olá! Boa noite.  😬 gostaria de mais informações sobre os cursos de vocês e o voluntariado	93	cursos	sobre,informações,gostaria
Gostaria de saber datas 📅 dos cursos e valores...me interessei...sou iniciante nesta área...já graduado	93	cursos	sobre,informações,gostaria
Estou interessada, recebi uma propaganda mas perdi o link	93	cursos	sobre,informações,gostaria
Quero mais informações sobre o curso,  que esta preste a iniciar?	93	cursos	sobre,informações,gostaria
Informações sobre o curso?	93	cursos	sobre,informações,gostaria
Olá gostaria de saber sobre as reuniões	93	cursos	sobre,informações,gostaria
Quero tirar umas dúvidas sobre este curso: https://youtu.be/1gjCIf3vmDg	93	cursos	sobre,informações,gostaria
Olá! Helena desejo saber sobre a existência de cursos na grande sp	93	cursos	sobre,informações,gostaria
Pfavor me passem mais informações sobre o curso aqui em Florianópolis	93	cursos	sobre,informações,gostaria
Gostaria de informação sobre o programa merlim	93	cursos	sobre,informações,gostaria
Gostaria de informações sobre o curso	93	cursos	sobre,informações,gostaria
Olá ! Poderia me passar informações dos cursos que aferecem?	93	cursos	sobre,informações,gostaria
Gostaria de ter mais informações sobre os cursos	93	cursos	sobre,informações,gostaria
Grata pelas informações 🙏	93	cursos	sobre,informações,gostaria
Gostaria de saber	94	perguntas	gostaria,saber,desculpa
Desculpa várias perguntas...	94	perguntas	gostaria,saber,desculpa
Coloquei a pergunta acima.	94	perguntas	gostaria,saber,desculpa
Gostaria de esclarecer uma dúvida.	94	perguntas	gostaria,saber,desculpa
Estou confuso🤏	94	perguntas	gostaria,saber,desculpa
Gostaria de tirar algumas dúvidas	94	perguntas	gostaria,saber,desculpa
E gostaria de saber o que fazer	94	perguntas	gostaria,saber,desculpa
Ninguém liga.	95	ninguém	ninguém,consegui,liga
Embora eu não consegui contato com a sede  Tijuca nem por celular ...	95	ninguém	ninguém,consegui,liga
Não consegui falar com ninguém em Taguatinga. Os telefones não atendem e nem responde	95	ninguém	ninguém,consegui,liga
Corpos herméticos 	96	corpos	corpos,herméticos
 Corpos herméticos 	96	corpos	corpos,herméticos
Aguardo informações e agradeço desde já a atenção.	97	obrigada	obrigada,aguardo,desde
Comprei  no link que você enviou. Vai chegar nesta sexta-feira. Obrigada	97	obrigada	obrigada,aguardo,desde
Muito obrigado Simplícia, aguardo o contato.	97	obrigada	obrigada,aguardo,desde
Desde de já, muito obrigada pela atenção!	97	obrigada	obrigada,aguardo,desde
Projecto muito interessante. Obrigada pela partilha. 	97	obrigada	obrigada,aguardo,desde
Fabio	98	plotino	plotino,fabio,platino
Platino	98	plotino	plotino,fabio,platino
Plotino ( mostrados durante  a live!)	98	plotino	plotino,fabio,platino
Plotino	98	plotino	plotino,fabio,platino
Portugal	98	plotino	plotino,fabio,platino
Gostaria de informações sobre projetos social e Voluntariado em Acrópole.Quero fazer um trabalho voluntário	99	participar	gostaria,olá,projetos
Olá! gostei muito da proposta de vcs, moro em Curitiba e gostaria de começar a participar dos cursos, atividades e trabalho voluntário	99	participar	gostaria,olá,projetos
Aguardamos orientações para iniciarmos as tratativas, na esperança de firmarmos a parceira.	99	participar	gostaria,olá,projetos
Gostaríamos de saber se já estão recebendo projetos para avaliação. Caso positivo, como devemos proceder?	99	participar	gostaria,olá,projetos
Todas as cidades onde os projetos serão realizados serão definidas em comum acordo com o patrocinador.	99	participar	gostaria,olá,projetos
Olá! Boa noite!! Como proceder para fazer parte como  voluntária aluno ou professor???	99	participar	gostaria,olá,projetos
Olá!, como faço para me voluntáriar?	99	participar	gostaria,olá,projetos
Peço desculpa pela associação indevida.	99	participar	gostaria,olá,projetos
Olá!gostaria de saber como participar do projeto de voluntariado de vocês	99	participar	gostaria,olá,projetos
gostaria de saber como participar presencialmente dos curso e deste lindo projeto!	99	participar	gostaria,olá,projetos
Gostaria de participar dos cursos da Prof. Lúcia Helena Galvão.	100	helena	helena,lúcia,galvão
Currículo da Professora Lúcia Helena Galvão	100	helena	helena,lúcia,galvão
Quero votar na professora Lucia Helena Galvão.	100	helena	helena,lúcia,galvão
Como votar na Lúcia Helena?	100	helena	helena,lúcia,galvão
Votação para Lúcia Helena	100	helena	helena,lúcia,galvão
Não consigo fazer lógica para confirmar meu voto na prof Lucia Helena.	100	helena	helena,lúcia,galvão
Foi um prazer votar na Professora,boa sorte,um abraço tudo de bom	100	helena	helena,lúcia,galvão
Olá! Gostaria de votar  para a Prof Lucia Helena Galvão	100	helena	helena,lúcia,galvão
Gratidão Professora Lúcia Helena Galvão por tudo que seu trabalho tem feito por mim e por tantos outros.	100	helena	helena,lúcia,galvão
Para entender o caibalion.	101	método	entender,quero,pouco
Existe alguma atividade pra me ajudar a entender?	101	método	entender,quero,pouco
Quero entender um pouco mais sobre o método	101	método	entender,quero,pouco
Quero entender um pouco mais sobre o método	101	método	entender,quero,pouco
Vi que abrem turmas periodicamente e estou interessada, se possível (e, neste momento) ,  no curso online.  	102	curso	curso,online,pago
O curso é pago, presencial, online, segue uma sequência? Quero entender mais um pouco sobre o método.	102	curso	curso,online,pago
O curso é pago, presencial, online, segue uma sequência? Quero entender mais um pouco sobre o método.	102	curso	curso,online,pago
Precisa de diamantes para comprar aquela roupa no Free Fire e impressionar geral?	103	diamantes	diamantes,free,fire
Acesse o site e ganhe gratuitamente e em nossos sorteios.	103	diamantes	diamantes,free,fire
Fazemos sorteios de Diamantes Free Fire todas as Quintas as 19h!Participe e não fique de fora🔥⭕	103	diamantes	diamantes,free,fire
Curso de filosofia e maneira clássica	104	filosofia	filosofia,curso,crianças
Estava assistindo uma aula da Lúcia Helena ela falou da escola que tem crianças fazendo filosofia	104	filosofia	filosofia,curso,crianças
Curso de filosofia para adolescentes	104	filosofia	filosofia,curso,crianças
Artes Marciais Filosófica- BODHIDHARMA	104	filosofia	filosofia,curso,crianças
Horários do curso de filosofia	104	filosofia	filosofia,curso,crianças
Horário das aulas do curso de filosofia	104	filosofia	filosofia,curso,crianças
Grupo de debate filosofico	104	filosofia	filosofia,curso,crianças
Olá! Gostaria de saber se vocês tem livros de filosofia para crianças.	104	filosofia	filosofia,curso,crianças
Inscrição curso Filosofia	104	filosofia	filosofia,curso,crianças
Escola de filosofia para crianças	104	filosofia	filosofia,curso,crianças
Curso de filosofia para crianças	104	filosofia	filosofia,curso,crianças
Receber link filosofia do oriente para ocidentais	104	filosofia	filosofia,curso,crianças
Para crianças de 4 e 5 anos	104	filosofia	filosofia,curso,crianças
11:33	105	xau	córrego,grãnde,floripa
😡😡😡😡😡😡😡😡😡😡😡😡😡	105	xau	córrego,grãnde,floripa
😢😢😢😢🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷😢😢😢	105	xau	córrego,grãnde,floripa
😊😊😊	105	xau	córrego,grãnde,floripa
✨🙏🏻🙏🏻🙏🏻✨	105	xau	córrego,grãnde,floripa
😜👍	105	xau	córrego,grãnde,floripa
👏	105	xau	córrego,grãnde,floripa
😞	105	xau	córrego,grãnde,floripa
Córrego Grãnde floripa	105	xau	córrego,grãnde,floripa
Xau	105	xau	córrego,grãnde,floripa
🥰	105	xau	córrego,grãnde,floripa
🤨	105	xau	córrego,grãnde,floripa
Caibalion	105	xau	córrego,grãnde,floripa
Falo de Sp	105	xau	córrego,grãnde,floripa
obigada	105	xau	córrego,grãnde,floripa
🥰	105	xau	córrego,grãnde,floripa
🙏🙏🙏	105	xau	córrego,grãnde,floripa
✌️🥰	105	xau	córrego,grãnde,floripa
aracaujo	105	xau	córrego,grãnde,floripa
😊	105	xau	córrego,grãnde,floripa
✨✨✨	105	xau	córrego,grãnde,floripa
Mandei errado🙏	105	xau	córrego,grãnde,floripa
🙏🍹	105	xau	córrego,grãnde,floripa
👏🏽	105	xau	córrego,grãnde,floripa
👏🏼👏🏼	105	xau	córrego,grãnde,floripa
🔝👏🏾👏🏾💪🏽💡	105	xau	córrego,grãnde,floripa
obr rigada	105	xau	córrego,grãnde,floripa
California- USA 🇺🇸	105	xau	córrego,grãnde,floripa
🙏🙏😁⚘	105	xau	córrego,grãnde,floripa
🙏🎼🌷❤️	105	xau	córrego,grãnde,floripa
🙏🤜🤛🙏	105	xau	córrego,grãnde,floripa
🙏	105	xau	córrego,grãnde,floripa
Mola	105	xau	córrego,grãnde,floripa
A plastica da professora me deixou muito confusa. Estou estranhando muito esta nova aparência e me pergunto até onde a matéria fez mais sentido do que o espiritual para ela. Não é a mesma. Nem mesmo o jeito de se expressar e o mesmo.	106	professora	lúcia,helena,gostaria
Gostaria,  de conversar  com alguém para tirar minhas duvidas.	106	professora	lúcia,helena,gostaria
Seria sobre Palestra com a Professora Lúcia Helena	106	professora	lúcia,helena,gostaria
Temos interesse em saber sobre palestras com a Dra Lúcia Helena, pode nos passar mais informações?	106	professora	lúcia,helena,gostaria
Ola Gostaria de saber se podemos falar com Sra Lúcia Helena Galvão sobre palestra	106	professora	lúcia,helena,gostaria
Sou Juliana e temos interesse em contratar uma palestra com a Professora Lucia Helena	106	professora	lúcia,helena,gostaria
Gostaria de poder conversar com a prof Lúcia Helena. Sou de Brasília tbm, me considero um filósofo genuíno. Se lhe* parecer interessante só responder aqui. Ficarei muito feliz. 	106	professora	lúcia,helena,gostaria
*O lhe se refere a prof.	106	professora	lúcia,helena,gostaria
Após anos de reflexão e a ajuda desse curso somadas às palestras da Prof. Lúcia Helena comecei a escrever um livro e gostaria de poder conversar com a Prof. Lúcia.	106	professora	lúcia,helena,gostaria
Após anos de reflexão e a ajuda desse curso somadas às palestras da Prof. Lúcia Helena comecei a escrever um livro e gostaria de poder conversar com a Prof. Lúcia.	106	professora	lúcia,helena,gostaria
Eu quero o numero de telefone da Prof. Lúcia Helena.	106	professora	lúcia,helena,gostaria
Olá.  Eu gostaria de conhece-los pessoalmente. 	106	professora	lúcia,helena,gostaria
Já sou aluna da professora ,tem algum desconto ?	106	professora	lúcia,helena,gostaria
Eu gostaria de conversar, se possível com a professora Lúcia Helena....	106	professora	lúcia,helena,gostaria
Gostaria de conversar com Lúcia Helena Galvão de Nova, acerca das Máximas de Ptahhotep.	106	professora	lúcia,helena,gostaria
Entrei no site para votar mas fiquei presa no CPF	107	votação	votar,votação,ibest
Mesmo assim me cadastrei e votei em voces.	107	votação	votar,votação,ibest
Vamos Subir De Nível❓	107	votação	votar,votação,ibest
Resultado da votação do iBest	107	votação	votar,votação,ibest
A votação do I best ainda está  valendo?	107	votação	votar,votação,ibest
Como votar top 3	107	votação	votar,votação,ibest
Eu quero saber o que fazer para votar na professora para o iBest	107	votação	votar,votação,ibest
Olá! Gostaria de dar meu voto para prêmio iBest. Link?	107	votação	votar,votação,ibest
Estou tentando votar mas está muito difícil... Vocês têm outro link para a votação?	107	votação	votar,votação,ibest
Comprovante_24-09-2021_174152.png	108	votar	votar,fa,ço
Votar	108	votar	votar,fa,ço
como fa ço p votar?	108	votar	votar,fa,ço
Não consigo votar.	108	votar	votar,fa,ço
Votação	108	votar	votar,fa,ço
Olá! Boa tarde.  Está começando curso presencial aqui em Fortaleza? Qual a  temática em quais dias e horário? Qual o valor do investimento?	109	cursos	olá,saber,cursos
Olá...quando teremos novas turmas presenciais em SP?	109	cursos	olá,saber,cursos
Olá! vcs tem algum evento presencial, para esse mes	109	cursos	olá,saber,cursos
Queria saber quando tera cursos iniciantes com Lúcia Helena ?	109	cursos	olá,saber,cursos
Olá! Qual dia e hora da live corpus hermeticus	109	cursos	olá,saber,cursos
Gostaria de saber quando comecara novamente os cursos presenciais obrigado	109	cursos	olá,saber,cursos
Ao final do curso se o aluno recebe alguma certificação;	109	cursos	olá,saber,cursos
Gostaria de  saber qual a sede mais próxima?  Tenho muito interesse nos cursos presenciais.	109	cursos	olá,saber,cursos
Essa aula é aberta ao público ou só pra quem vai iniciar o curso ?	109	cursos	olá,saber,cursos
Olá! quando terá cursos em sp? Obrigado! Boa semana	109	cursos	olá,saber,cursos
Olá!oi helena gostaria de saber quando iniciarao novos cursos presenciais	109	cursos	olá,saber,cursos
Gostaria de saber se está confirmado o início do curso agora em setembro.	109	cursos	olá,saber,cursos
